CustomerID,Recency,Frequency,Monetary,Segment,VIP_Subsegment
12535,92,2,716.35,Promising,
12536,43,3,12601.830000000002,Promising,
12538,29,1,363.95,Promising,
12539,22,4,5568.35,Promising,
12540,20,17,13400.24,Loyal,
12541,30,3,981.18,Promising,
12544,36,1,372.7,Promising,
12545,75,2,1000.39,Promising,
12546,47,2,1161.5,Promising,
12547,198,2,207.79999999999998,Churned/At-Risk,
12548,166,1,95.19999999999999,Churned/At-Risk,
12550,79,1,964.83,Promising,
12551,358,1,168.0,Churned/At-Risk,
12552,39,2,437.82,Promising,
12553,8,10,3692.28,Promising,
12556,50,2,599.56,Promising,
12557,16,5,11990.960000000001,Promising,
12558,8,1,269.96,Promising,
12559,311,2,561.71,Churned/At-Risk,
12560,5,3,2134.01,Promising,
12561,303,1,238.85,Churned/At-Risk,
12562,8,7,3781.7400000000002,Promising,
12564,261,1,456.9,Churned/At-Risk,
12565,289,1,145.92,Churned/At-Risk,
12566,86,1,351.65,Promising,
12567,23,10,9401.28,Promising,
12569,2,32,4124.69,Loyal,
12571,40,2,519.61,Promising,
12572,9,2,1020.42,Promising,
12573,227,1,160.54000000000002,Churned/At-Risk,
12574,316,1,218.45,Churned/At-Risk,
12576,36,5,1315.83,Promising,
12577,35,3,626.6,Promising,
12578,21,2,2794.51,Promising,
12579,78,1,440.42,Promising,
12580,247,1,415.7,Churned/At-Risk,
12581,40,1,197.71,Promising,
12582,239,2,511.36,Churned/At-Risk,
12583,3,15,7281.38,Loyal,
12584,4,9,2338.15,Promising,
12585,234,2,2040.1,Churned/At-Risk,
12586,17,1,196.94000000000003,Promising,
12587,8,1,144.0,Promising,
12588,39,1,214.89999999999998,Promising,
12589,29,2,646.68,Promising,
12590,211,2,9864.26,Churned/At-Risk,
12591,317,1,452.84999999999997,Churned/At-Risk,
12592,92,2,437.6,Promising,
12593,109,3,418.09999999999997,Promising,
12594,38,10,3338.2200000000003,Promising,
12596,51,2,618.27,Promising,
12597,19,4,3811.22,Promising,
12598,10,8,3023.08,Promising,
12599,29,7,1032.58,Promising,
12600,29,10,2599.04,Promising,
12601,190,5,577.0600000000001,Churned/At-Risk,
12602,59,1,153.12,Promising,
12603,22,1,739.1999999999999,Promising,
12604,79,2,254.18,Promising,
12607,60,1,1579.51,Promising,
12609,78,3,1126.85,Promising,
12610,23,5,2099.54,Promising,
12611,52,1,1193.32,Promising,
12612,74,1,704.0400000000001,Promising,
12613,57,5,3344.38,Promising,
12614,278,1,315.6,Churned/At-Risk,
12615,2,4,2291.19,Promising,
12616,95,2,713.3,Promising,
12617,29,1,352.98,Promising,
12618,22,1,177.31,Promising,
12619,16,9,3641.24,Promising,
12620,15,3,1339.41,Promising,
12621,2,20,13689.67,Loyal,
12622,232,1,180.1,Churned/At-Risk,
12623,276,1,305.1,Churned/At-Risk,
12624,106,2,641.13,Promising,
12625,212,2,2683.82,Churned/At-Risk,
12626,23,9,6620.48,Promising,
12627,11,7,4478.53,Promising,
12628,4,3,786.46,Promising,
12630,10,2,1270.88,Promising,
12631,57,1,640.5,Promising,
12633,59,4,2163.98,Promising,
12635,90,2,1689.18,Promising,
12637,67,8,6002.9,Promising,
12638,33,1,671.69,Promising,
12639,239,1,486.1,Churned/At-Risk,
12640,24,3,1174.58,Promising,
12641,115,1,185.9,Promising,
12642,25,3,1013.26,Promising,
12643,128,6,3344.64,Promising,
12644,130,1,477.91,Promising,
12645,34,4,1775.18,Promising,
12646,5,2,1346.97,Promising,
12647,22,12,3722.82,Promising,
12648,155,1,318.05,Churned/At-Risk,
12649,107,3,623.51,Promising,
12650,3,1,314.44,Promising,
12651,335,1,114.0,Churned/At-Risk,
12652,331,1,919.98,Churned/At-Risk,
12653,149,2,2209.85,Churned/At-Risk,
12654,11,5,601.98,Promising,
12656,17,5,4051.17,Promising,
12657,11,4,1643.18,Promising,
12658,19,1,686.05,Promising,
12659,30,1,91.68,Promising,
12660,11,1,245.1,Promising,
12662,1,11,3849.78,Promising,
12664,8,9,4881.88,Promising,
12665,325,1,63.0,Churned/At-Risk,
12667,58,1,620.13,Promising,
12668,12,4,3807.15,Promising,
12669,151,3,2744.0299999999997,Churned/At-Risk,
12670,10,5,2996.05,Promising,
12672,330,1,225.89999999999998,Churned/At-Risk,
12673,5,2,610.52,Promising,
12674,39,4,1970.6,Promising,
12676,25,6,1331.39,Promising,
12678,42,12,17628.46,Loyal,
12679,59,4,1113.02,Promising,
12680,1,4,862.81,Promising,
12681,15,22,13787.54,Loyal,
12682,4,31,12279.82,Loyal,
12683,4,15,8476.57,Loyal,
12684,8,7,2283.63,Promising,
12685,28,6,2863.08,Promising,
12686,372,1,89.14,Churned/At-Risk,
12688,114,1,4873.8099999999995,Promising,
12689,26,2,1247.61,Promising,
12690,206,1,389.01,Churned/At-Risk,
12691,28,6,1035.8,Promising,
12693,127,4,855.91,Promising,
12694,70,2,869.67,Promising,
12695,7,4,582.1,Promising,
12697,29,3,957.59,Promising,
12700,8,4,4939.99,Promising,
12701,80,2,797.71,Promising,
12702,20,1,219.0,Promising,
12703,71,1,283.55,Promising,
12704,7,8,2340.84,Promising,
12705,15,9,6868.29,Promising,
12707,292,1,603.42,Churned/At-Risk,
12708,30,10,2712.91,Promising,
12709,15,15,9706.52,Loyal,
12710,97,3,1149.02,Promising,
12712,29,13,4396.13,Promising,
12713,1,1,848.55,Promising,
12714,9,5,4708.86,Promising,
12715,106,1,343.36,Promising,
12716,4,2,1053.49,Promising,
12717,151,2,1030.98,Churned/At-Risk,
12718,71,1,238.25,Promising,
12719,5,2,644.95,Promising,
12720,3,25,5781.73,Loyal,
12721,32,6,2656.13,Promising,
12722,85,4,997.63,Promising,
12723,4,5,725.07,Promising,
12724,5,4,1031.41,Promising,
12725,371,1,427.8,Churned/At-Risk,
12726,28,7,2609.1,Promising,
12727,11,7,3980.7,Promising,
12728,71,4,836.33,Promising,
12729,114,1,453.01,Promising,
12731,24,12,18895.91,Loyal,
12732,180,1,236.26000000000002,Churned/At-Risk,
12733,234,1,383.95,Churned/At-Risk,
12734,353,1,110.39999999999999,Churned/At-Risk,
12735,315,2,779.5699999999999,Churned/At-Risk,
12736,333,1,234.0,Churned/At-Risk,
12738,372,1,155.35,Churned/At-Risk,
12739,78,2,1013.04,Promising,
12740,64,1,427.6,Promising,
12743,134,2,540.13,Promising,
12744,52,7,21279.29,Loyal,
12747,2,11,4196.01,Promising,
12748,1,209,33053.19,VIP,Loyal Frequent VIPs
12749,4,5,4090.88,Promising,
12750,129,1,275.88,Promising,
12752,81,1,4366.78,Promising,
12753,23,6,21429.39,Promising,
12754,236,3,3010.74,Churned/At-Risk,
12755,281,2,3811.95,Churned/At-Risk,
12756,87,1,112.07999999999998,Promising,
12757,16,13,7834.650000000001,Loyal,
12758,117,2,2791.59,Promising,
12759,52,3,1531.44,Promising,
12762,8,2,1898.52,Promising,
12763,138,2,494.08,Promising,
12764,317,1,1693.88,Churned/At-Risk,
12766,4,7,6989.63,Promising,
12769,239,1,1143.6,Churned/At-Risk,
12770,211,1,1351.45,Churned/At-Risk,
12772,60,1,892.47,Promising,
12775,17,5,1386.04,Promising,
12778,20,6,822.23,Promising,
12779,38,8,3981.36,Promising,
12781,64,2,826.74,Promising,
12782,5,5,2330.92,Promising,
12783,2,6,2225.91,Promising,
12784,9,2,532.8199999999999,Promising,
12785,364,1,311.95,Churned/At-Risk,
12787,10,3,463.66,Promising,
12789,65,1,91.85,Promising,
12790,192,1,324.92,Churned/At-Risk,
12791,374,1,192.60000000000002,Churned/At-Risk,
12792,257,1,400.53999999999996,Churned/At-Risk,
12793,335,2,545.48,Churned/At-Risk,
12794,53,2,860.41,Promising,
12795,19,1,430.48,Promising,
12797,366,1,254.03,Churned/At-Risk,
12798,10,3,6977.04,Promising,
12802,187,1,427.58,Churned/At-Risk,
12808,37,3,483.65000000000003,Promising,
12809,178,1,489.31,Churned/At-Risk,
12811,261,3,514.85,Churned/At-Risk,
12812,45,1,229.64000000000001,Promising,
12814,102,1,125.92,Promising,
12815,148,2,1063.46,Churned/At-Risk,
12816,96,2,572.2,Promising,
12817,281,1,166.04,Churned/At-Risk,
12818,262,1,1542.08,Churned/At-Risk,
12820,3,4,942.34,Promising,
12821,214,1,92.72,Churned/At-Risk,
12822,71,2,948.88,Promising,
12823,75,5,1759.5,Promising,
12824,60,1,397.12,Promising,
12826,3,7,1474.72,Promising,
12827,6,3,430.15000000000003,Promising,
12828,3,6,1018.71,Promising,
12829,337,2,293.0,Churned/At-Risk,
12830,38,6,6814.64,Promising,
12831,262,1,215.05,Churned/At-Risk,
12832,32,2,383.03,Promising,
12833,145,1,417.38,Churned/At-Risk,
12834,283,1,312.38,Churned/At-Risk,
12836,59,4,2610.36,Promising,
12837,173,1,134.1,Churned/At-Risk,
12838,34,2,671.95,Promising,
12839,3,14,5591.42,Loyal,
12840,144,4,2726.77,Promising,
12841,5,25,3991.58,Loyal,
12842,70,2,1118.99,Promising,
12843,66,8,1702.26,Promising,
12844,29,2,325.96000000000004,Promising,
12845,267,4,354.09,Churned/At-Risk,
12847,22,1,843.64,Promising,
12849,31,2,1010.29,Promising,
12851,97,1,131.81,Promising,
12852,295,1,311.55,Churned/At-Risk,
12853,135,6,1957.1000000000001,Promising,
12854,79,3,1316.25,Promising,
12855,373,1,38.1,Churned/At-Risk,
12856,8,6,2170.78,Promising,
12857,211,2,1106.4,Churned/At-Risk,
12863,52,1,521.2,Promising,
12864,138,1,147.12,Promising,
12865,26,2,1568.23,Promising,
12866,283,1,559.12,Churned/At-Risk,
12867,26,7,4009.34,Promising,
12868,186,6,1607.0600000000002,Churned/At-Risk,
12871,84,2,380.64,Promising,
12872,327,2,599.97,Churned/At-Risk,
12873,282,1,374.0,Churned/At-Risk,
12875,143,2,343.2300000000001,Promising,
12876,58,2,2218.02,Promising,
12877,4,12,1535.77,Promising,
12878,236,2,854.99,Churned/At-Risk,
12879,45,3,573.22,Promising,
12881,276,1,298.0,Churned/At-Risk,
12882,9,2,1463.04,Promising,
12883,25,4,703.47,Promising,
12884,88,1,309.05,Promising,
12885,63,3,1175.22,Promising,
12886,68,2,1378.4,Promising,
12888,214,2,354.12,Churned/At-Risk,
12890,24,1,376.71999999999997,Promising,
12891,186,3,331.0,Churned/At-Risk,
12893,31,1,176.55,Promising,
12895,42,2,372.8,Promising,
12897,205,2,216.5,Churned/At-Risk,
12901,9,28,17654.54,Loyal,
12902,265,1,138.68,Churned/At-Risk,
12904,18,2,496.06,Promising,
12906,12,5,2919.81,Promising,
12908,176,2,750.0,Churned/At-Risk,
12909,40,5,2178.67,Promising,
12910,23,8,3075.04,Promising,
12912,3,5,1662.3,Promising,
12913,5,5,2483.63,Promising,
12915,149,2,363.65,Churned/At-Risk,
12916,139,4,2944.95,Promising,
12917,128,1,594.0,Promising,
12919,8,6,1335.19,Promising,
12920,17,1,162.78,Promising,
12921,9,37,16587.09,Loyal,
12922,161,1,405.38,Churned/At-Risk,
12923,64,1,172.82,Promising,
12924,88,4,933.7,Promising,
12925,5,2,694.05,Promising,
12928,35,5,2062.7000000000003,Promising,
12929,312,1,117.85,Churned/At-Risk,
12930,78,2,415.8,Promising,
12931,22,15,42055.96,Loyal,
12933,24,3,607.53,Promising,
12935,2,7,2160.7,Promising,
12936,17,4,1063.9,Promising,
12937,15,4,1504.27,Promising,
12938,26,1,114.14,Promising,
12939,64,8,11581.8,Promising,
12940,55,2,899.69,Promising,
12942,131,3,675.6,Promising,
12944,36,2,604.51,Promising,
12945,288,1,462.95,Churned/At-Risk,
12947,144,6,1603.99,Promising,
12948,16,7,2064.95,Promising,
12949,31,8,4167.22,Promising,
12950,2,3,1843.0,Promising,
12951,9,6,1064.07,Promising,
12952,6,4,1387.79,Promising,
12953,10,1,329.85,Promising,
12955,1,11,4757.16,Promising,
12956,306,1,108.07,Churned/At-Risk,
12957,10,8,4017.54,Promising,
12962,7,2,266.39,Promising,
12963,8,8,1856.63,Promising,
12965,89,1,769.8100000000001,Promising,
12966,10,1,160.18,Promising,
12967,358,2,1660.9,Churned/At-Risk,
12968,112,1,135.95,Promising,
12970,7,4,405.47,Promising,
12971,4,86,11189.91,Loyal,
12974,198,1,144.8,Churned/At-Risk,
12976,212,1,738.6,Churned/At-Risk,
12977,156,1,39.239999999999995,Churned/At-Risk,
12980,158,9,7374.900000000001,Promising,
12981,30,2,372.21999999999997,Promising,
12982,243,1,390.54,Churned/At-Risk,
12984,19,1,97.5,Promising,
12985,1,2,1239.38,Promising,
12987,74,2,558.7,Promising,
12988,292,1,505.82,Churned/At-Risk,
12989,3,15,6924.110000000001,Loyal,
12990,31,3,409.5,Promising,
12991,23,2,503.76,Promising,
12993,23,4,414.76,Promising,
12994,4,3,974.4200000000001,Promising,
12995,85,1,211.32,Promising,
12997,22,4,1226.89,Promising,
12999,196,3,455.88,Churned/At-Risk,
13000,107,3,534.85,Promising,
13001,4,13,9785.970000000001,Loyal,
13002,318,1,120.94999999999999,Churned/At-Risk,
13003,106,3,149.05,Promising,
13004,12,18,5655.91,Loyal,
13005,174,2,513.7,Churned/At-Risk,
13006,56,1,81.57,Promising,
13008,323,1,229.46999999999997,Churned/At-Risk,
13011,372,1,50.550000000000004,Churned/At-Risk,
13012,9,8,1646.8400000000001,Promising,
13013,1,13,4810.9400000000005,Promising,
13014,11,10,3466.2799999999997,Promising,
13015,53,5,3339.64,Promising,
13016,73,3,789.89,Promising,
13017,7,1,204.0,Promising,
13018,16,28,7277.7,Loyal,
13021,4,9,2616.38,Promising,
13023,64,2,689.9,Promising,
13026,1,5,975.36,Promising,
13027,114,6,6912.0,Promising,
13028,23,2,661.3199999999999,Promising,
13029,31,3,1247.5,Promising,
13030,11,2,752.4399999999999,Promising,
13032,52,2,1010.18,Promising,
13033,357,1,190.55,Churned/At-Risk,
13034,55,2,642.77,Promising,
13035,74,2,921.88,Promising,
13037,138,3,881.07,Promising,
13038,80,3,908.46,Promising,
13040,9,2,676.99,Promising,
13043,273,1,516.42,Churned/At-Risk,
13044,291,1,560.47,Churned/At-Risk,
13045,99,1,305.28000000000003,Promising,
13046,31,2,629.31,Promising,
13047,32,10,3237.54,Promising,
13048,14,4,1819.41,Promising,
13049,64,2,656.6800000000001,Promising,
13050,15,17,5836.86,Loyal,
13052,212,1,348.15000000000003,Churned/At-Risk,
13055,78,3,1214.41,Promising,
13058,25,3,271.40000000000003,Promising,
13059,250,1,183.4,Churned/At-Risk,
13060,254,1,307.53,Churned/At-Risk,
13061,72,1,248.61,Promising,
13062,191,1,346.98,Churned/At-Risk,
13064,13,4,1105.59,Promising,
13065,373,1,205.86,Churned/At-Risk,
13066,24,2,470.8,Promising,
13067,82,1,115.46000000000001,Promising,
13068,10,2,344.0,Promising,
13069,1,24,4431.44,Loyal,
13070,192,1,228.8,Churned/At-Risk,
13072,267,1,177.15,Churned/At-Risk,
13075,130,1,919.61,Promising,
13077,1,4,728.02,Promising,
13078,3,26,12627.94,Loyal,
13079,4,5,220.10000000000002,Promising,
13080,179,1,58.08,Churned/At-Risk,
13081,12,11,28337.38,Loyal,
13082,126,9,3613.63,Promising,
13083,4,2,303.75,Promising,
13085,158,2,416.08000000000004,Churned/At-Risk,
13089,3,97,58762.08,VIP,Loyal Frequent VIPs
13090,9,14,8910.82,Loyal,
13091,28,1,345.82,Promising,
13092,71,5,477.83,Promising,
13093,276,8,7832.47,Churned/At-Risk,
13094,21,12,1927.3200000000002,Promising,
13095,71,1,74.39999999999999,Promising,
13097,33,10,6003.22,Promising,
13098,1,28,28882.44,Loyal,
13099,99,1,207.35999999999999,Promising,
13101,234,1,101.19,Churned/At-Risk,
13102,1,24,6424.09,Loyal,
13103,40,1,243.94,Promising,
13104,3,6,1098.48,Promising,
13106,133,1,76.5,Promising,
13107,44,4,1531.6200000000001,Promising,
13108,373,1,350.06,Churned/At-Risk,
13109,60,2,786.54,Promising,
13110,31,7,1488.67,Promising,
13113,1,24,12245.960000000001,Loyal,
13115,12,4,2294.78,Promising,
13116,138,1,501.14,Promising,
13117,22,8,984.91,Promising,
13118,20,5,1197.81,Promising,
13120,239,1,30.599999999999998,Churned/At-Risk,
13121,269,1,283.73,Churned/At-Risk,
13122,94,2,922.39,Promising,
13124,90,3,3756.33,Promising,
13126,5,8,2099.64,Promising,
13127,78,1,259.17,Promising,
13130,94,1,64.0,Promising,
13131,23,3,1073.3,Promising,
13132,262,1,77.3,Churned/At-Risk,
13133,274,2,109.8,Churned/At-Risk,
13134,86,4,1793.58,Promising,
13135,197,1,3096.0,Churned/At-Risk,
13136,56,5,2607.61,Promising,
13137,11,8,3603.29,Promising,
13138,22,6,962.39,Promising,
13139,16,7,5064.94,Promising,
13140,108,3,422.47,Promising,
13141,85,5,2388.75,Promising,
13142,19,1,307.09,Promising,
13144,333,1,110.95,Churned/At-Risk,
13145,40,4,618.52,Promising,
13146,26,1,228.91,Promising,
13147,10,4,712.8000000000001,Promising,
13148,29,12,3683.26,Promising,
13149,14,4,1676.06,Promising,
13151,296,1,1257.8700000000001,Churned/At-Risk,
13153,6,1,486.22,Promising,
13155,33,4,971.76,Promising,
13157,49,4,1741.22,Promising,
13158,95,4,1201.06,Promising,
13159,9,4,1429.35,Promising,
13160,22,1,91.8,Promising,
13161,313,1,112.75,Churned/At-Risk,
13162,122,4,1688.29,Promising,
13165,46,2,1021.48,Promising,
13166,283,1,417.2,Churned/At-Risk,
13167,19,4,791.33,Promising,
13168,36,4,1299.59,Promising,
13169,64,2,712.88,Promising,
13170,27,1,108.81,Promising,
13171,22,3,468.41,Promising,
13173,4,2,353.65,Promising,
13174,16,3,2742.82,Promising,
13176,46,1,481.49,Promising,
13177,65,1,282.45,Promising,
13178,26,11,5725.47,Promising,
13182,45,1,121.18,Promising,
13183,8,9,3957.78,Promising,
13184,15,10,1668.95,Promising,
13185,268,1,71.4,Churned/At-Risk,
13186,40,3,1575.89,Promising,
13187,337,1,236.02,Churned/At-Risk,
13188,11,1,114.60000000000001,Promising,
13189,19,2,260.68,Promising,
13192,95,2,911.94,Promising,
13193,61,1,112.08,Promising,
13194,136,1,60.7,Promising,
13196,11,4,1797.78,Promising,
13198,10,6,3401.2400000000002,Promising,
13199,4,38,9817.12,Loyal,
13200,19,4,870.09,Promising,
13203,10,4,869.46,Promising,
13207,15,2,250.26000000000002,Promising,
13208,59,6,1217.65,Promising,
13209,30,8,5891.61,Promising,
13210,94,1,353.48,Promising,
13211,10,3,1095.42,Promising,
13212,20,3,786.83,Promising,
13213,57,5,1520.58,Promising,
13216,268,1,333.74,Churned/At-Risk,
13217,122,3,533.98,Promising,
13218,127,1,62.63999999999999,Promising,
13220,78,4,819.2900000000001,Promising,
13221,240,2,847.41,Churned/At-Risk,
13223,200,2,163.20000000000002,Churned/At-Risk,
13224,60,2,2155.95,Promising,
13225,3,7,6463.84,Promising,
13226,273,1,108.21000000000001,Churned/At-Risk,
13227,202,1,257.7,Churned/At-Risk,
13228,81,1,358.0,Promising,
13229,226,1,160.95,Churned/At-Risk,
13230,4,14,2755.63,Promising,
13232,13,7,1328.35,Promising,
13233,74,2,605.12,Promising,
13235,212,1,1031.07,Churned/At-Risk,
13236,25,2,744.85,Promising,
13238,17,4,700.73,Promising,
13239,262,1,329.56,Churned/At-Risk,
13240,96,4,663.65,Promising,
13242,112,3,270.40000000000003,Promising,
13243,203,1,585.12,Churned/At-Risk,
13244,93,1,121.74000000000001,Promising,
13245,51,1,430.5,Promising,
13246,18,6,1961.52,Promising,
13247,18,4,501.12,Promising,
13248,125,2,465.68,Promising,
13249,92,3,711.41,Promising,
13253,157,2,1030.4,Churned/At-Risk,
13255,9,2,399.51,Promising,
13258,12,3,672.83,Promising,
13259,62,1,283.18,Promising,
13260,61,1,557.62,Promising,
13261,269,2,944.1,Churned/At-Risk,
13262,263,1,200.29,Churned/At-Risk,
13263,1,35,7436.93,Loyal,
13265,53,5,2092.66,Promising,
13266,11,12,3834.2599999999998,Promising,
13267,3,19,4521.49,Loyal,
13268,18,11,3174.75,Promising,
13269,1,15,5343.28,Loyal,
13270,366,1,590.0,Churned/At-Risk,
13271,37,1,211.49,Promising,
13272,31,2,276.56,Promising,
13273,113,1,138.98,Promising,
13276,64,2,590.9300000000001,Promising,
13277,16,4,258.4,Promising,
13278,41,1,542.73,Promising,
13279,78,1,137.75,Promising,
13280,122,3,798.46,Promising,
13282,18,3,1132.14,Promising,
13283,60,2,93.66,Promising,
13284,331,1,201.19,Churned/At-Risk,
13285,23,4,2709.12,Promising,
13291,156,1,361.11,Churned/At-Risk,
13292,39,2,578.9399999999999,Promising,
13294,190,2,873.74,Churned/At-Risk,
13295,360,1,201.20000000000002,Churned/At-Risk,
13296,137,1,87.4,Promising,
13297,8,4,2089.85,Promising,
13298,1,1,360.0,Promising,
13299,268,1,142.5,Churned/At-Risk,
13300,169,1,371.89,Churned/At-Risk,
13301,104,4,618.09,Promising,
13302,155,1,63.75,Churned/At-Risk,
13304,351,1,300.42,Churned/At-Risk,
13305,4,10,2000.86,Promising,
13307,120,1,15.0,Promising,
13308,23,3,1385.51,Promising,
13309,7,5,1456.79,Promising,
13310,28,3,1132.03,Promising,
13311,4,2,598.57,Promising,
13313,22,5,1555.32,Promising,
13314,2,3,775.94,Promising,
13316,37,4,5732.93,Promising,
13317,66,6,2273.68,Promising,
13318,1,3,640.76,Promising,
13319,5,26,10845.550000000001,Loyal,
13320,78,4,1532.2,Promising,
13321,72,2,567.36,Promising,
13322,17,1,199.48000000000002,Promising,
13323,3,5,787.85,Promising,
13324,36,10,7121.95,Promising,
13325,82,1,675.3,Promising,
13327,39,8,3627.77,Promising,
13328,316,1,1308.48,Churned/At-Risk,
13329,32,2,789.0,Promising,
13330,93,3,1140.93,Promising,
13332,14,1,350.9,Promising,
13334,82,3,3502.32,Promising,
13336,77,1,795.12,Promising,
13338,158,1,487.02,Churned/At-Risk,
13339,201,1,860.12,Churned/At-Risk,
13340,45,7,10736.48,Promising,
13341,261,1,775.85,Churned/At-Risk,
13343,178,1,353.43,Churned/At-Risk,
13344,68,3,2511.69,Promising,
13345,288,1,389.5,Churned/At-Risk,
13347,70,1,341.36,Promising,
13348,64,1,233.76,Promising,
